X1,X2,X3,X4,Y
833,1888,409,21,-2.71907216494845
4439,4523,485,223,-0.320610687022901
2758,2540,456,143,0.696485623003195
2316,1854,500,180,1.44375
1540,2550,409,468,17.1186440677966
1931,2306,436,92,-1.09011627906977
707,4944,447,370,-55.025974025974
2487,1459,475,320,6.63225806451613
1557,2779,447,370,-15.8701298701299
3913,1915,443,408,57.0857142857143
4079,4870,487,464,-34.3913043478261
3049,2201,474,32,1.9185520361991
3954,2275,406,146,6.45769230769231
4500,2631,441,238,9.20689655172414
4199,3804,465,122,1.15160349854227
1856,4431,447,310,-18.7956204379562
2345,2980,412,121,-2.18213058419244
2841,3082,477,107,-0.651351351351351
1342,2779,431,29,-3.57462686567164
4630,1704,427,343,34.8333333333333
1559,1731,475,14,-0.373101952277657
3459,2811,413,328,7.62352941176471
3868,3295,488,465,24.9130434782609
1032,2759,474,477,575.666666666667
2734,799,444,348,20.15625
3033,2340,499,354,4.77931034482759
1339,1446,422,369,-2.0188679245283
4702,2097,460,103,7.296918767507
541,1908,484,343,-9.69503546099291
3342,1797,476,409,23.0597014925373
3769,2703,439,327,9.51785714285714
3549,4549,480,17,-2.15982721382289
831,1377,433,388,-12.1333333333333
4134,3886,422,165,0.964980544747082
2586,3341,469,405,-11.796875
2396,3194,479,72,-1.96068796068796
2965,2390,421,159,2.19465648854962
2533,3134,449,400,-12.265306122449
3296,2910,472,96,1.02659574468085
883,2623,492,39,-3.84105960264901
4081,2123,461,109,5.5625
2318,1519,431,256,4.56571428571429
4299,4375,500,196,-0.25
4248,3378,424,390,25.5882352941176
3568,710,430,14,6.87019230769231
3100,3927,442,34,-2.02696078431373
2116,1451,401,350,13.0392156862745
4549,4039,443,360,6.14457831325301
2992,2279,457,220,3.0084388185654
1263,2578,405,173,-5.66810344827586
4833,4798,468,235,0.150214592274678
1001,3360,420,286,-17.6044776119403
824,813,482,116,0.030054644808743
3948,3601,408,104,1.14144736842105
966,2169,427,30,-3.03022670025189
2394,3537,413,46,-3.11444141689373
1522,2874,412,309,-13.126213592233
2893,984,465,250,8.87906976744186
1471,4889,402,499,35.2371134020619
1448,525,407,400,131.857142857143
3019,1657,434,161,4.98901098901099
4976,2041,484,398,34.1279069767442
4581,1777,433,457,-116.833333333333
3608,3308,428,370,5.17241379310345
2864,4079,429,165,-4.60227272727273
1999,2747,451,297,-4.85714285714286
4122,1282,492,395,29.2783505154639
3026,2169,491,266,3.80888888888889
2025,2159,457,346,-1.20720720720721
4199,3586,425,160,2.31320754716981
2314,4343,433,154,-7.27240143369176
4807,1550,477,316,20.2298136645963
2059,3098,431,121,-3.35161290322581
952,1946,417,268,-6.67114093959732
4820,1231,446,286,22.43125
4660,4440,461,395,3.33333333333333
1718,2587,400,229,-5.08187134502924
1766,2227,412,253,-2.89937106918239
1183,600,495,490,116.6
3211,2764,445,242,2.20197044334975
3470,4628,445,471,44.5384615384615
2750,2335,418,32,1.07512953367876
865,2206,407,356,-26.2941176470588
1777,619,476,318,7.32911392405063
4382,2117,471,350,18.7190082644628
4961,3716,407,249,7.87974683544304
2798,4360,432,89,-4.55393586005831
1393,3290,483,261,-8.54504504504505
3660,2079,475,292,8.63934426229508
1214,4789,467,238,-15.6113537117904
1596,4370,492,187,-9.09508196721312
1849,1137,409,398,64.7272727272727
3435,3184,434,282,1.65131578947368
2013,2792,447,152,-2.64067796610169
650,3980,481,125,-9.35393258426966
4897,3812,464,103,3.00554016620499
3246,4730,470,485,98.9333333333333
4392,4811,461,84,-1.11140583554377
3968,4341,417,79,-1.10355029585799
4502,2112,401,26,6.37333333333333
4299,3887,431,224,1.99033816425121
621,1720,479,395,-13.0833333333333
4962,1547,437,267,20.0882352941176
823,3583,438,257,-15.2486187845304
4168,2993,482,202,4.19642857142857
2443,4813,483,348,-17.5555555555556
1194,2386,458,466,149
1815,3183,404,364,-34.2
4658,2461,494,275,10.0319634703196
4717,3875,423,431,-105.25
1861,4261,495,163,-7.2289156626506
4799,1098,454,366,42.0568181818182
4192,1391,416,460,-63.6590909090909
2203,2659,431,245,-2.45161290322581
4607,1714,485,278,13.975845410628
1799,2526,448,305,-5.08391608391608
4792,2812,414,72,5.78947368421053
4622,1962,427,39,6.85567010309278
2276,3616,403,99,-4.40789473684211
2593,4755,438,281,-13.7707006369427
4049,4566,489,459,-17.2333333333333
5000,1830,465,133,9.54819277108434
3627,3068,497,480,32.8823529411765
1724,4955,498,32,-6.93347639484979
738,4668,453,182,-14.5018450184502
1346,1400,441,394,-1.14893617021277
3486,2227,426,269,8.01910828025478
4156,3635,415,240,2.97714285714286
2894,3596,467,45,-1.66350710900474
3129,4529,463,413,-28
2244,4664,407,280,-19.0551181102362
3404,1851,401,95,5.07516339869281
912,2401,499,491,-186.125
4287,3638,408,284,5.23387096774194
1503,3372,415,75,-5.49705882352941
936,4969,453,43,-9.83658536585366
1446,4476,421,49,-8.14516129032258
2236,3345,480,182,-3.72147651006711
1432,4298,415,327,-32.5681818181818
3401,1726,435,29,4.1256157635468
640,3428,456,107,-7.98853868194842
2765,4142,401,64,-4.08605341246291
4670,3591,497,117,2.83947368421053
4780,4070,487,232,2.7843137254902
4499,892,427,152,13.1163636363636
806,2515,410,210,-8.545
616,4758,452,309,-28.965034965035
1227,3899,468,239,-11.6681222707424
2730,2832,485,11,-0.215189873417721
2479,4795,470,118,-6.57954545454545
4759,992,416,170,15.3130081300813
2407,544,410,280,14.3307692307692
2270,3048,447,179,-2.90298507462687
1195,2773,480,333,-10.734693877551
2517,3468,441,224,-4.38248847926267
2086,3376,459,70,-3.31619537275064
1695,1436,497,273,1.15625
4715,1069,437,56,9.56955380577428
2250,570,433,460,-62.2222222222222
4326,2366,432,217,9.11627906976744
2723,1244,400,108,5.06506849315069
4217,1728,448,330,21.0932203389831
2368,3496,494,115,-2.97625329815303
3555,3700,478,36,-0.328054298642534
3349,2671,401,282,5.69747899159664
1901,1576,468,269,1.63316582914573
635,1818,416,462,25.7173913043478
4874,4822,422,384,1.36842105263158
3582,1302,462,35,5.33957845433255
4984,2825,408,490,-26.3292682926829
1979,3889,439,296,-13.3566433566434
4648,3690,414,175,4.00836820083682
3861,2861,407,239,5.95238095238095
2721,1881,402,367,24
