X1,X2,X3,X4,X5,X6,X7,Y
802,189,916,684,437,454,668,15658.4
512,470,328,658,497,660,844,89678
816,954,852,992,815,923,578,366032.4
248,134,843,218,152,662,739,7620.4
552,410,800,232,299,582,37,67706
546,984,482,423,39,289,59,388150.4
847,209,15,355,250,914,198,18184.4
73,392,40,511,108,259,730,62489.6
562,637,459,396,955,418,561,163101.6
416,570,371,925,296,390,994,131812
511,952,375,15,288,335,29,362553.6
75,80,279,296,377,820,812,3154
774,897,69,650,681,945,687,323145.6
295,823,760,847,162,371,10,272627.6
194,990,640,641,964,135,370,393324
655,343,428,851,698,519,931,48763.6
877,132,556,75,961,413,121,7121.6
431,280,483,57,570,889,223,31476
26,141,404,888,520,44,98,9730.4
722,255,156,895,1001,281,153,27802
251,213,758,900,35,906,748,19949.6
729,902,397,815,885,925,542,327073.6
719,639,930,712,277,47,488,164754.4
848,910,205,894,392,303,905,333030
279,679,598,579,792,328,39,185576.4
414,601,96,44,200,206,972,144570.4
619,446,812,193,690,940,697,79954.4
481,915,941,935,616,635,118,336762
420,432,253,82,834,813,676,74815.6
206,333,376,271,202,66,157,44899.6
475,584,899,315,585,334,331,137054.4
92,962,564,482,931,207,614,371143.6
498,755,936,121,783,407,15,228254
562,595,400,303,644,310,673,142218
784,454,450,385,580,180,33,83218.4
895,75,250,604,791,271,207,3460
180,642,198,848,325,384,683,166563.6
937,207,649,985,501,845,542,19111.6
58,145,326,383,669,243,959,9178
505,91,477,821,593,719,229,4956.4
473,660,753,72,748,718,416,174386
690,22,768,555,77,595,43,1305.6
560,27,991,899,957,941,639,2091.6
109,308,742,12,447,450,389,37971.6
819,760,349,59,17,323,627,231160
204,628,338,962,845,597,911,159679.6
771,846,987,460,654,533,941,287208.4
666,179,221,835,534,788,533,14488.4
405,572,704,258,516,899,772,131391.6
595,645,504,829,308,774,835,168070
634,79,822,921,223,368,395,4340.4
885,355,112,262,614,508,432,50936
274,378,755,440,351,467,196,58035.6
984,493,471,966,214,649,929,99153.6
49,221,606,795,163,956,257,21128.4
801,830,58,278,115,626,540,276118
33,21,522,923,278,625,857,2024.4
255,552,32,60,320,270,606,122003.6
957,312,652,968,818,854,617,40875.6
116,418,580,133,484,56,793,70157.6
992,20,212,693,585,315,134,1548
972,76,946,506,234,473,905,3324.4
540,607,652,400,234,856,194,148181.6
123,393,818,401,603,659,236,62583.6
87,807,75,457,414,252,632,261415.6
688,642,380,70,852,606,725,165007.6
419,936,872,904,458,864,207,352248.4
166,423,892,924,834,251,762,73421.6
283,804,578,445,162,756,502,259458.4
121,471,170,996,390,188,952,90730.4
295,904,567,537,129,807,202,327962.4
989,810,985,314,801,762,238,263070
426,768,541,383,263,513,110,236697.6
504,546,69,10,111,188,603,119268.4
818,326,220,86,283,87,187,42684.4
860,937,560,347,40,221,19,351883.6
475,93,658,664,989,957,954,4789.6
584,441,358,14,848,219,503,77822.4
617,709,858,860,783,513,309,202794.4
421,37,547,135,43,609,140,819.6
262,218,338,30,231,205,916,19071.6
628,185,918,794,774,851,927,15280
90,321,254,844,283,991,358,42906.4
337,652,389,82,406,566,276,170207.6
304,668,795,300,822,428,917,179091.6
525,126,513,414,885,540,916,7180.4
235,737,831,45,293,880,124,217359.6
615,514,127,132,676,642,462,105944.4
849,327,711,121,451,831,473,43015.6
363,172,255,219,964,622,293,12273.6
142,87,722,538,234,486,339,4105.6
201,53,295,31,330,488,713,1187.6
655,836,763,64,834,341,53,279688.4
269,400,580,850,418,923,644,65702
844,82,74,174,106,237,707,3039.6
392,425,735,481,565,469,878,73214
476,61,653,851,645,128,852,3192.4
930,519,600,206,43,374,149,108158.4
105,330,816,288,329,739,112,44138
929,423,512,752,643,652,22,73077.6
728,444,615,673,999,392,385,80202.4
526,495,459,497,914,461,191,99006
